15414	0	0	0
15415	0	1	0
15420	0	1	0
15421	0	1	0
15422	0.5	1	0
15423	0.5	1	0
15424	0.5	1	0
15428	0	0	0
15434	0	1	0.5
15440	0	1	0
15443	0	0	0
15447	1	0.5	0
15465	0	1	0
15466	0.5	1	0
15480	0	0.5	0
15481	0	0	0
15485	0	1	0
15486	0.5	1	0
15487	0	1	0
15488	0.5	1	0
15493	0	0.5	0
15565	0	0.5	0
15566	0	0	0
15579	0	0.5	0
15580	1	0.5	0
15592	0	1	0
15594	0.5	1	0
15596	0.5	0.5	0
15597	0.5	0.5	0
15599	0	1	0
15601	0.5	0.5	0
15606	0.5	0.5	0
15635	0	0.5	0
15636	0	0	0
15637	0	0	0
15650	0	0.5	0
15653	0	0	0
15654	1	1	0
15664	0	0	0
15679	0.5	0.5	0
15704	0.5	0.5	0
15719	0.5	0.5	0
15745	0.5	0.5	0
15751	0	1	0
15796	0.5	1	0
15824	0.5	0.5	0
15849	0	0	0
15850	0.5	1	0
15853	0	0	0
15855	0	0.5	0.5
15856	0.5	1	0
15859	0.5	0.5	0
15863	1	0	0
15913	0	0	0
15958	0	1	0
15959	0	1	0
15962	1	0	0
15963	0.5	0	0.5
15965	0	0	0
