15458,1,1,1,0.5,1,0	
15459,1,0,0,1,0,1	
15461,0,0,1,0,0,0	
15462,0,1,0,0.5,1,1	
15463,0,1,1,0,0,0	
15464,0,0,1,0,0.5,1	
15466,1,0,1,0,0,0	
15469,0,0,0,0,0.5,0.5	
15470,0,0,1,0,0,0	
15473,1,1,0,1,1,0.5	
15474,0,0,0,1,0,1	
15477,0,0,0,0,0,0	
15479,0,0,1,0,0,0	
15482,1,0,0,0,0,0	
15483,1,1,0,1,0,0	
15484,1,0,0,0.5,0,0	
15486,1,0,1,0.5,0.5,0	
15488,1,1,0,0.5,0.5,0.5	
15489,1,0,1,0,1,1	
15490,1,1,0,0.5,0.5,0.5	
15491,0,1,1,0,0,0	
15492,1,1,0,0,0,0	
15493,1,0,0,0,0.5,0.5	
15494,1,1,0,0,0.5,1	
15497,0,0,1,0.5,0,1	
15498,0,1,0,0,0,0	
15518,1,1,0,0.5,0,0	
15519,1,0,0,0.5,1,1	
15520,0,1,1,0.5,1,0.5	
15521,0,0,1,1,0,1	
15523,1,0,1,1,0,0	
15524,0,0,0,0.5,0,0.5	
15526,0,1,0,1,0.5,1	
15527,1,1,0,0,0,0	
15529,0,0,1,1,0,1	
15530,0,1,1,1,0.5,1	
15531,0,0,1,1,0.5,1	
15532,0,1,1,0.5,0.5,0.5	
15533,1,1,1,0.5,0,1	
15534,0,1,1,1,0.5,1	
15535,1,0,0,0.5,1,0.5	
15536,0,1,1,1,1,0.5	
15537,0,1,0,0.5,1,0	
15538,0,1,0,0.5,0.5,1	
15541,1,1,1,1,0.5,1	
15596,0,0,0,1,0.5,1	
15601,1,1,1,0.5,0.5,0.5	
15602,1,1,1,0.5,0.5,1	
15603,0,1,1,0.5,0,1	
15604,0,0,0,1,0.5,1	
15607,1,1,1,0,0.5,0.5	
15608,1,1,0,0,0,0	
15609,0,1,1,0,0,0	
15610,0,0,1,0.5,0,0.5	
15611,1,1,1,0,0,0	
15612,0,0,1,1,0,1	
15613,0,0,0,1,0,1	
15614,0,1,1,0,0,0	
15615,1,1,1,0.5,0,1	
15617,0,1,0,1,0.5,0.5	
15618,0,1,0,0,0,0.5	
15620,0,1,1,0,0.5,1	
15621,0,1,1,0,0,0	
15622,0,1,1,0,1,1	
15623,0,1,1,0,0,0	
15624,0,1,1,0,0,0	
15625,0,1,0,0,0,0	
15628,0,1,0,0,0,0	
15629,0,1,1,0,1,1	
15630,0,0,1,0.5,0,0.5	
15631,0,1,1,0.5,0.5,1	
15632,0,1,1,1,1,1	
15633,0,0,0,0,0,1	
15634,0,1,1,0.5,0,1	
15635,0,0,1,0,0,1	
15636,0,1,1,0,0,0	
15637,0,1,1,0,1,1	
15638,0,1,1,0,0,0	
15642,0,1,1,1,0.5,0	
15643,0,1,0,0.5,0.5,0.5	
15645,0,0,1,0,0,0	
15656,0,1,1,0,1,1	
15657,1,0,0,1,0.5,1	
15658,0,1,1,0,0,1	
15665,0,0,1,0,0,0	
15667,0,1,1,0.5,0,1	
15668,1,0,0,1,0,0.5	
15669,0,1,0,0,0,0.5	
15670,0,1,1,0,0,0	
15672,1,0,0,0,0,0	
15673,0,1,0,1,0.5,1	
15674,1,0,0,0,0,0	
15675,1,0,0,0,0,0	
15677,0,0,0,1,0,0	
15678,0,1,1,1,0,1	
15679,0,0,0,1,0.5,1	
15680,0,0,1,1,0,0.5	
15681,1,0,0,1,0,0.5	
15683,1,0,0,0,0,0	
15685,0,1,1,1,0,0.5	
15686,0,1,1,0,0,0	
15687,0,0,0,1,0.5,1	
15688,1,0,0,0,1,1	
15689,1,1,1,0.5,0,0.5	
15690,0,1,1,1,0,1	
15691,0,0,0,1,0.5,1	
15694,0,1,1,0,0,0	
16079,0,0,0,0,0,0	
16080,0,1,0,1,0,0	
16081,1,0,0,0.5,1,0	
16082,1,1,1,0.5,0,0	
16083,0,1,1,0.5,0,1	
16085,0,0,0,1,0,0	
16086,1,0,0,1,0.5,0.5	
16091,0,1,1,1,0.5,0	
16092,0,0,0,1,0.5,0.5	
16093,1,1,0,0.5,0.5,0.5	
16094,0,0,0,0,0,0	
16097,0,0,0,0,0,0	
16099,1,1,0,1,1,0.5	
16100,0,0,0,0.5,0.5,1	
16101,0,0,0,0,0,0	
16112,0,0,0,1,0,1	
16113,0,0,0,0,0,0	
16115,1,0,0,0,0,1	
16129,0,1,1,0,0,0	
16132,0,0,0,1,0.5,1	
16133,1,0,0,0,0,0	
16138,0,1,1,0,0,0	
16139,1,1,0,0.5,0.5,1	
16140,0,0,0,0,0,0	
16141,0,0,0,0.5,0,1	
16142,1,0,0,0,0,0	
16144,1,1,0,0,0,0	
16145,1,1,0,0,0,0	
